ID                                      0xa7d
Delivery_person_ID             VADRES010DEL02
Delivery_person_Age                 32.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 22.310329
Restaurant_longitude                73.169083
Delivery_location_latitude          22.390329
Delivery_location_longitude         73.249083
Order_Date                         02-03-2022
Time_Orderd                             17:45
Time_Order_picked                       17:60
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    34.000000
Name: 45576, dtype: object
