ID                                      0xac7b
Delivery_person_ID             COIMBRES17DEL01
Delivery_person_Age                  21.000000
Delivery_person_Ratings               5.000000
Restaurant_latitude                  11.026117
Restaurant_longitude                 76.944652
Delivery_location_latitude           11.096117
Delivery_location_longitude          77.014652
Order_Date                          20-03-2022
Time_Orderd                              22:45
Time_Order_picked                        22:55
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Drinks
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     25.000000
Name: 9861, dtype: object
