ID                                      0x3faa
Delivery_person_ID             BANGRES010DEL02
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.953298
Delivery_location_longitude          77.634293
Order_Date                          05-03-2022
Time_Orderd                               8:45
Time_Order_picked                         8:55
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     20.000000
Name: 7397, dtype: object
