ID                                       0x3ab0
Delivery_person_ID                SURRES08DEL01
Delivery_person_Age                   32.000000
Delivery_person_Ratings                4.300000
Restaurant_latitude                   21.173343
Restaurant_longitude                  72.792731
Delivery_location_latitude            21.243343
Delivery_location_longitude           72.862731
Order_Date                           06-04-2022
Time_Orderd                               23:60
Time_Order_picked                         24:05
Weather conditions                          Fog
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      37.000000
Name: 24943, dtype: object
