ID                                       0x2ebc
Delivery_person_ID                JAPRES16DEL02
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   26.849596
Restaurant_longitude                  75.800512
Delivery_location_latitude            26.899596
Delivery_location_longitude           75.850512
Order_Date                           17-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:25
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 1875, dtype: object
