ID                                    0x9fac
Delivery_person_ID             SURRES03DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.186884
Restaurant_longitude               72.793616
Delivery_location_latitude         21.196884
Delivery_location_longitude        72.803616
Order_Date                        19-03-2022
Time_Orderd                             8:60
Time_Order_picked                       9:15
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   11.000000
Name: 39009, dtype: object
