ID                                       0xbb03
Delivery_person_ID                MUMRES01DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                3.700000
Restaurant_latitude                   19.126630
Restaurant_longitude                  72.829976
Delivery_location_latitude            19.196630
Delivery_location_longitude           72.899976
Order_Date                           31-03-2022
Time_Orderd                               21:35
Time_Order_picked                         21:50
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 21181, dtype: object
