ID                                        0x3f7
Delivery_person_ID               CHENRES04DEL01
Delivery_person_Age                   15.000000
Delivery_person_Ratings                1.000000
Restaurant_latitude                  -13.029780
Restaurant_longitude                 -80.208812
Delivery_location_latitude            13.139780
Delivery_location_longitude           80.318812
Order_Date                           31-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:40
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      15.000000
Name: 31295, dtype: object
