ID                                     0x8f4e
Delivery_person_ID             BANGRES02DEL03
Delivery_person_Age                 23.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 12.970221
Restaurant_longitude                77.645396
Delivery_location_latitude          13.030221
Delivery_location_longitude         77.705396
Order_Date                         21-03-2022
Time_Orderd                             20:20
Time_Order_picked                       20:25
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 13392, dtype: object
