ID                                      0x47a
Delivery_person_ID             BANGRES09DEL03
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 12.934179
Restaurant_longitude                77.615797
Delivery_location_latitude          13.024179
Delivery_location_longitude         77.705797
Order_Date                         10-03-2022
Time_Orderd                               NaN
Time_Order_picked                       20:30
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    15.000000
Name: 22259, dtype: object
