ID                                     0x835d
Delivery_person_ID             CHENRES17DEL03
Delivery_person_Age                 32.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 13.045479
Restaurant_longitude                80.233110
Delivery_location_latitude          13.075479
Delivery_location_longitude         80.263110
Order_Date                         19-03-2022
Time_Orderd                             23:40
Time_Order_picked                       23:55
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 8081, dtype: object
