ID                                       0xc396
Delivery_person_ID                BHPRES05DEL01
Delivery_person_Age                   22.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.214459
Restaurant_longitude                  77.434976
Delivery_location_latitude            23.224459
Delivery_location_longitude           77.444976
Order_Date                           15-02-2022
Time_Orderd                                8:40
Time_Order_picked                          8:55
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      11.000000
Name: 35821, dtype: object
