ID                                       0xa4da
Delivery_person_ID             RANCHIRES05DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   23.355164
Restaurant_longitude                  85.324097
Delivery_location_latitude            23.465164
Delivery_location_longitude           85.434097
Order_Date                           02-03-2022
Time_Orderd                               19:35
Time_Order_picked                         19:45
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             0
Type_of_order                            Drinks
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      46.000000
Name: 25141, dtype: object
