ID                                    0xd7f1
Delivery_person_ID             KOCRES11DEL01
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                10.006881
Restaurant_longitude               76.345397
Delivery_location_latitude         10.016881
Delivery_location_longitude        76.355397
Order_Date                        13-02-2022
Time_Orderd                             8:15
Time_Order_picked                       8:20
Weather conditions                    Cloudy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                 NaN
City                                   Urban
Time_taken (min)                   11.000000
Name: 30033, dtype: object
