ID                                      0x362f
Delivery_person_ID             COIMBRES12DEL01
Delivery_person_Age                  38.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.010762
Delivery_location_longitude          76.991876
Order_Date                          15-03-2022
Time_Orderd                              10:10
Time_Order_picked                        10:15
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     28.000000
Name: 13425, dtype: object
