ID                                        0x13f0
Delivery_person_ID             RANCHIRES010DEL03
Delivery_person_Age                    36.000000
Delivery_person_Ratings                 4.700000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.414422
Delivery_location_longitude            85.392900
Order_Date                            09-03-2022
Time_Orderd                                21:35
Time_Order_picked                          21:45
Weather conditions                           Fog
Road_traffic_density                         Jam
Vehicle_condition                              1
Type_of_order                              Snack
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       29.000000
Name: 886, dtype: object
