ID                                     0xda1d
Delivery_person_ID             LUDHRES07DEL02
Delivery_person_Age                     38.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.08
Delivery_location_longitude              0.08
Order_Date                         18-02-2022
Time_Orderd                             20:40
Time_Order_picked                       20:50
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                      3.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        51.00
Name: 5126, dtype: object
