ID                                     0x5dc9
Delivery_person_ID             CHENRES19DEL01
Delivery_person_Age                 27.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 12.986047
Restaurant_longitude                80.218114
Delivery_location_latitude          13.026047
Delivery_location_longitude         80.258114
Order_Date                         21-03-2022
Time_Orderd                             13:60
Time_Order_picked                       14:15
Weather conditions                      Sunny
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    18.000000
Name: 21526, dtype: object
