ID                                     0x8be
Delivery_person_ID             SURRES06DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                21.185047
Restaurant_longitude               72.808590
Delivery_location_latitude         21.205047
Delivery_location_longitude        72.828590
Order_Date                        07-03-2022
Time_Orderd                             9:10
Time_Order_picked                       9:15
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 27679, dtype: object
