ID                                      0xa4c5
Delivery_person_ID             COIMBRES13DEL02
Delivery_person_Age                  29.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.003669
Restaurant_longitude                 76.976494
Delivery_location_latitude           11.053669
Delivery_location_longitude          77.026494
Order_Date                          26-03-2022
Time_Orderd                              23:45
Time_Order_picked                        23:55
Weather conditions                      Cloudy
Road_traffic_density                       Low
Vehicle_condition                            2
Type_of_order                           Buffet
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     19.000000
Name: 21418, dtype: object
