ID                                       0x521e
Delivery_person_ID               BANGRES20DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.972161
Restaurant_longitude                  77.596014
Delivery_location_latitude            13.022161
Delivery_location_longitude           77.646014
Order_Date                           03-03-2022
Time_Orderd                               22:10
Time_Order_picked                         22:25
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 43341, dtype: object
