ID                                      0x40c5
Delivery_person_ID             BANGRES010DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.983298
Delivery_location_longitude          77.664293
Order_Date                          28-03-2022
Time_Orderd                              20:50
Time_Order_picked                        21:05
Weather conditions                  Sandstorms
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 37947, dtype: object
