ID                                      0x5c81
Delivery_person_ID             COIMBRES06DEL01
Delivery_person_Age                  30.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.061278
Delivery_location_longitude          77.035017
Order_Date                          03-03-2022
Time_Orderd                              14:35
Time_Order_picked                        14:40
Weather conditions                       Sunny
Road_traffic_density                      High
Vehicle_condition                            2
Type_of_order                             Meal
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     17.000000
Name: 8061, dtype: object
