ID                                    0xda9e
Delivery_person_ID             ALHRES07DEL03
Delivery_person_Age                34.000000
Delivery_person_Ratings             3.500000
Restaurant_latitude                25.449659
Restaurant_longitude               81.839744
Delivery_location_latitude         25.539659
Delivery_location_longitude        81.929744
Order_Date                        18-02-2022
Time_Orderd                            20:10
Time_Order_picked                      20:15
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 2975, dtype: object
