ID                                       0xbefc
Delivery_person_ID                KOCRES20DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                    9.979186
Restaurant_longitude                  76.317361
Delivery_location_latitude            10.089186
Delivery_location_longitude           76.427361
Order_Date                           12-02-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      33.000000
Name: 37752, dtype: object
