ID                                     0xbcc9
Delivery_person_ID             BANGRES12DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.939496
Restaurant_longitude                77.625999
Delivery_location_latitude          12.959496
Delivery_location_longitude         77.645999
Order_Date                         15-03-2022
Time_Orderd                              8:10
Time_Order_picked                        8:15
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    14.000000
Name: 30018, dtype: object
