ID                                       0xda78
Delivery_person_ID                KNPRES04DEL01
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   26.471529
Restaurant_longitude                  80.313458
Delivery_location_latitude            26.511529
Delivery_location_longitude           80.353458
Order_Date                           11-02-2022
Time_Orderd                               13:35
Time_Order_picked                         13:45
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      15.000000
Name: 22125, dtype: object
