ID                                     0xd98a
Delivery_person_ID             LUDHRES11DEL03
Delivery_person_Age                 31.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.953081
Delivery_location_longitude         75.881495
Order_Date                         15-02-2022
Time_Orderd                             17:45
Time_Order_picked                       17:60
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    33.000000
Name: 7608, dtype: object
