ID                                    0xe0b9
Delivery_person_ID             ALHRES12DEL01
Delivery_person_Age                36.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                25.443994
Restaurant_longitude               81.860187
Delivery_location_latitude         25.483994
Delivery_location_longitude        81.900187
Order_Date                        15-02-2022
Time_Orderd                            16:10
Time_Order_picked                      16:20
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 8632, dtype: object
