ID                                     0xd5cd
Delivery_person_ID             AURGRES02DEL02
Delivery_person_Age                     31.00
Delivery_person_Ratings                  4.60
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.05
Delivery_location_longitude              0.05
Order_Date                         15-02-2022
Time_Orderd                             17:50
Time_Order_picked                       17:55
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        29.00
Name: 41704, dtype: object
