ID                                    0xc29c
Delivery_person_ID             KNPRES18DEL03
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                26.474133
Restaurant_longitude               80.348100
Delivery_location_latitude         26.564133
Delivery_location_longitude        80.438100
Order_Date                        16-02-2022
Time_Orderd                            19:25
Time_Order_picked                      19:40
Weather conditions                    Stormy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 3.000000
Festival                                 Yes
City                              Semi-Urban
Time_taken (min)                   52.000000
Name: 7288, dtype: object
