ID                                     0xe6c
Delivery_person_ID             SURRES20DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                21.152760
Restaurant_longitude               72.778059
Delivery_location_latitude         21.202760
Delivery_location_longitude        72.828059
Order_Date                        03-04-2022
Time_Orderd                              NaN
Time_Order_picked                      21:60
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 955, dtype: object
