ID                                       0xbee2
Delivery_person_ID             RANCHIRES20DEL03
Delivery_person_Age                   32.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   23.399250
Restaurant_longitude                  85.390464
Delivery_location_latitude            23.489250
Delivery_location_longitude           85.480464
Order_Date                           04-03-2022
Time_Orderd                               22:20
Time_Order_picked                         22:35
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 25270, dtype: object
