ID                                        0x5e17
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    37.000000
Delivery_person_Ratings                 4.800000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.424422
Delivery_location_longitude            85.402900
Order_Date                            16-03-2022
Time_Orderd                                18:15
Time_Order_picked                          18:25
Weather conditions                    Sandstorms
Road_traffic_density                      Medium
Vehicle_condition                              0
Type_of_order                              Snack
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       33.000000
Name: 22312, dtype: object
