ID                                     0x5baa
Delivery_person_ID             PUNERES08DEL01
Delivery_person_Age                  31.00000
Delivery_person_Ratings               4.10000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.64408
Delivery_location_longitude          74.00852
Order_Date                         25-03-2022
Time_Orderd                             19:40
Time_Order_picked                       19:45
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                   2.00000
Festival                                   No
City                                    Urban
Time_taken (min)                     39.00000
Name: 17667, dtype: object
