ID                                       0x49dd
Delivery_person_ID             RANCHIRES16DEL02
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   23.371292
Restaurant_longitude                  85.327872
Delivery_location_latitude            23.391292
Delivery_location_longitude           85.347872
Order_Date                           05-04-2022
Time_Orderd                               10:15
Time_Order_picked                         10:25
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             0
Type_of_order                              Meal
Type_of_vehicle                      motorcycle
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 16054, dtype: object
