ID                                    0x2ec8
Delivery_person_ID             VADRES09DEL01
Delivery_person_Age                    36.00
Delivery_person_Ratings                 4.40
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        10-03-2022
Time_Orderd                            18:40
Time_Order_picked                      18:45
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       44.00
Name: 35985, dtype: object
