ID                                     0xd05a
Delivery_person_ID             LUDHRES11DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              2.700000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.973081
Delivery_location_longitude         75.901495
Order_Date                         18-02-2022
Time_Orderd                             23:45
Time_Order_picked                       23:50
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  2.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 4135, dtype: object
