ID                                     0x1bb0
Delivery_person_ID             INDORES16DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 22.744648
Restaurant_longitude                75.894377
Delivery_location_latitude          22.754648
Delivery_location_longitude         75.904377
Order_Date                         17-03-2022
Time_Orderd                             11:35
Time_Order_picked                       11:45
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                       NaN
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 22291, dtype: object
