ID                                     0xc1cc
Delivery_person_ID             LUDHRES11DEL03
Delivery_person_Age                 39.000000
Delivery_person_Ratings              4.100000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          30.983081
Delivery_location_longitude         75.911495
Order_Date                         14-02-2022
Time_Orderd                             19:10
Time_Order_picked                       19:20
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  3.000000
Festival                                   No
City                               Semi-Urban
Time_taken (min)                    49.000000
Name: 401, dtype: object
