ID                                        0x65f
Delivery_person_ID               PUNERES19DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   18.563934
Restaurant_longitude                  73.915367
Delivery_location_latitude            18.653934
Delivery_location_longitude           74.005367
Order_Date                           10-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         23:55
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      20.000000
Name: 6162, dtype: object
