ID                                    0x189c
Delivery_person_ID             VADRES20DEL02
Delivery_person_Age                21.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                22.311358
Restaurant_longitude               73.164798
Delivery_location_latitude         22.331358
Delivery_location_longitude        73.184798
Order_Date                        05-03-2022
Time_Orderd                            10:25
Time_Order_picked                      10:35
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   17.000000
Name: 12943, dtype: object
