ID                                     0x2df9
Delivery_person_ID             PUNERES01DEL01
Delivery_person_Age                 29.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 18.569156
Restaurant_longitude                73.774723
Delivery_location_latitude          18.639156
Delivery_location_longitude         73.844723
Order_Date                         10-03-2022
Time_Orderd                             19:35
Time_Order_picked                       19:45
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    28.000000
Name: 24673, dtype: object
