ID                                      0x801c
Delivery_person_ID             COIMBRES01DEL03
Delivery_person_Age                  34.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.016298
Restaurant_longitude                 76.972076
Delivery_location_latitude           11.076298
Delivery_location_longitude          77.032076
Order_Date                          09-03-2022
Time_Orderd                              23:35
Time_Order_picked                        23:50
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     18.000000
Name: 24387, dtype: object
