ID                                       0xb77a
Delivery_person_ID                MUMRES03DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.223840
Restaurant_longitude                  72.841347
Delivery_location_latitude            19.243840
Delivery_location_longitude           72.861347
Order_Date                           15-03-2022
Time_Orderd                               10:55
Time_Order_picked                         11:05
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 26304, dtype: object
