ID                                    0xa04a
Delivery_person_ID             HYDRES05DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                17.433809
Restaurant_longitude               78.386744
Delivery_location_latitude         17.443809
Delivery_location_longitude        78.396744
Order_Date                        01-04-2022
Time_Orderd                             8:60
Time_Order_picked                       9:10
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 44681, dtype: object
