ID                                       0xa28b
Delivery_person_ID               BANGRES05DEL01
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   12.970324
Restaurant_longitude                  77.645748
Delivery_location_latitude            13.040324
Delivery_location_longitude           77.715748
Order_Date                           23-03-2022
Time_Orderd                               18:10
Time_Order_picked                         18:20
Weather conditions                       Stormy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      17.000000
Name: 32613, dtype: object
