ID                                       0xc6fe
Delivery_person_ID                KOLRES01DEL03
Delivery_person_Age                   38.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   22.514688
Restaurant_longitude                  88.393294
Delivery_location_latitude            22.574688
Delivery_location_longitude           88.453294
Order_Date                           11-02-2022
Time_Orderd                               17:10
Time_Order_picked                         17:15
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 950, dtype: object
