ID                                        0x4f3
Delivery_person_ID              COIMBRES18DEL02
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -11.020910
Restaurant_longitude                 -76.940432
Delivery_location_latitude            11.100910
Delivery_location_longitude           77.020432
Order_Date                           31-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         24:05
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 4691, dtype: object
