ID                                       0xe05a
Delivery_person_ID               AURGRES14DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.200000
Restaurant_latitude                   19.875016
Restaurant_longitude                  75.322405
Delivery_location_latitude            19.965016
Delivery_location_longitude           75.412405
Order_Date                           12-02-2022
Time_Orderd                               19:50
Time_Order_picked                         19:60
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    Yes
City                                      Urban
Time_taken (min)                      49.000000
Name: 14542, dtype: object
