ID                                    0xa4b2
Delivery_person_ID             HYDRES15DEL03
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                17.459710
Restaurant_longitude               78.368855
Delivery_location_latitude         17.519710
Delivery_location_longitude        78.428855
Order_Date                        15-03-2022
Time_Orderd                            17:20
Time_Order_picked                      17:30
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   14.000000
Name: 19061, dtype: object
