ID                                     0xbbb8
Delivery_person_ID             PUNERES18DEL02
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.593481
Restaurant_longitude                73.785901
Delivery_location_latitude          18.613481
Delivery_location_longitude         73.805901
Order_Date                         24-03-2022
Time_Orderd                              9:15
Time_Order_picked                        9:25
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                       NaN
Festival                                   No
City                                    Urban
Time_taken (min)                    14.000000
Name: 21411, dtype: object
