ID                                       0xd5d4
Delivery_person_ID               LUDHRES14DEL01
Delivery_person_Age                   37.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   30.892978
Restaurant_longitude                  75.821847
Delivery_location_latitude            30.902978
Delivery_location_longitude           75.831847
Order_Date                           15-02-2022
Time_Orderd                               11:40
Time_Order_picked                         11:45
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 8403, dtype: object
