ID                                     0xd86e
Delivery_person_ID             LUDHRES09DEL03
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.885814
Restaurant_longitude                75.786976
Delivery_location_latitude          31.025814
Delivery_location_longitude         75.926976
Order_Date                         18-02-2022
Time_Orderd                             17:20
Time_Order_picked                       17:30
Weather conditions                      Windy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 18087, dtype: object
