ID                                     0xdc77
Delivery_person_ID             KOLRES010DEL03
Delivery_person_Age                 39.000000
Delivery_person_Ratings              3.800000
Restaurant_latitude                 22.538999
Restaurant_longitude                88.322337
Delivery_location_latitude          22.628999
Delivery_location_longitude         88.412337
Order_Date                         16-02-2022
Time_Orderd                             20:20
Time_Order_picked                       20:25
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    36.000000
Name: 45274, dtype: object
