ID                                       0xa4e8
Delivery_person_ID                SURRES02DEL03
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.186608
Restaurant_longitude                  72.794136
Delivery_location_latitude            21.246608
Delivery_location_longitude           72.854136
Order_Date                           13-03-2022
Time_Orderd                               18:15
Time_Order_picked                         18:25
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      24.000000
Name: 41342, dtype: object
