ID                                     0xdde9
Delivery_person_ID             LUDHRES11DEL03
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 30.893081
Restaurant_longitude                75.821495
Delivery_location_latitude          31.033081
Delivery_location_longitude         75.961495
Order_Date                         18-02-2022
Time_Orderd                             18:15
Time_Order_picked                       18:20
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 132, dtype: object
