ID                                      0xaca0
Delivery_person_ID             INDORES010DEL02
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  22.750040
Restaurant_longitude                 75.902847
Delivery_location_latitude           22.880040
Delivery_location_longitude          76.032847
Order_Date                          10-03-2022
Time_Orderd                              20:60
Time_Order_picked                        21:15
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     23.000000
Name: 17327, dtype: object
