ID                                       0xadc9
Delivery_person_ID               BANGRES17DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.972532
Restaurant_longitude                  77.608179
Delivery_location_latitude            13.022532
Delivery_location_longitude           77.658179
Order_Date                           26-03-2022
Time_Orderd                               20:50
Time_Order_picked                         21:05
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 2627, dtype: object
