ID                                     0xdc70
Delivery_person_ID             LUDHRES02DEL02
Delivery_person_Age                     24.00
Delivery_person_Ratings                  5.00
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.05
Delivery_location_longitude              0.05
Order_Date                         15-02-2022
Time_Orderd                             19:30
Time_Order_picked                       19:40
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        28.00
Name: 2398, dtype: object
