ID                                      0xd8f8
Delivery_person_ID             LUDHRES010DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.600000
Restaurant_latitude                  30.892860
Restaurant_longitude                 75.822199
Delivery_location_latitude           30.942860
Delivery_location_longitude          75.872199
Order_Date                          15-02-2022
Time_Orderd                              18:30
Time_Order_picked                        18:40
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                                       NaN
Time_taken (min)                     34.000000
Name: 35993, dtype: object
