ID                                        0xe21
Delivery_person_ID             RANCHIRES18DEL02
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   23.351489
Restaurant_longitude                  85.324253
Delivery_location_latitude            23.401489
Delivery_location_longitude           85.374253
Order_Date                           11-03-2022
Time_Orderd                               19:10
Time_Order_picked                         19:25
Weather conditions                        Sunny
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 6043, dtype: object
