ID                                       0xc1e5
Delivery_person_ID                KOLRES17DEL01
Delivery_person_Age                   23.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   22.569358
Restaurant_longitude                  88.433452
Delivery_location_latitude            22.579358
Delivery_location_longitude           88.443452
Order_Date                           11-02-2022
Time_Orderd                                9:20
Time_Order_picked                          9:35
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 13648, dtype: object
