ID                                       0xa8c6
Delivery_person_ID                MYSRES02DEL03
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   12.304569
Restaurant_longitude                  76.643622
Delivery_location_latitude            12.394569
Delivery_location_longitude           76.733622
Order_Date                           10-03-2022
Time_Orderd                               20:15
Time_Order_picked                         20:30
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                 Semi-Urban
Time_taken (min)                      49.000000
Name: 3878, dtype: object
